time,open,high,low,close,tick_volume,spread,real_volume
2024-07-27 08:17:00,68104.78,68130.55,68097.98,68122.72,68,0,0
2024-07-27 08:18:00,68122.95,68123.33,68103.64,68110.23,61,0,0
2024-07-27 08:19:00,68112.43,68126.79,68082.29,68092.26,98,0,0
2024-07-27 08:20:00,68091.9,68140.47,68091.9,68121.73,73,0,0
2024-07-27 08:21:00,68124.37,68125.57,68071.38,68076.32,73,0,0
2024-07-27 08:22:00,68076.39,68090.2,68062.4,68079.39,65,0,0
2024-07-27 08:23:00,68079.32,68107.84,68059.54,68073.99,75,0,0
2024-07-27 08:24:00,68072.6,68097.87,68055.78,68055.78,72,0,0
2024-07-27 08:25:00,68057.49,68102.37,68057.49,68102.12,68,0,0
2024-07-27 08:26:00,68105.04,68110.05,68025.21,68050.14,99,0,0
2024-07-27 08:27:00,68050.94,68067.53,68036.07,68040.1,66,0,0
2024-07-27 08:28:00,68040.27,68049.64,68022.82,68022.82,65,0,0
2024-07-27 08:29:00,68025.2,68047.99,68023.42,68038.21,73,0,0
2024-07-27 08:30:00,68040.55,68048.5,68029.69,68044.7,68,0,0
2024-07-27 08:31:00,68043.8,68056.14,68031.39,68049.08,64,0,0
2024-07-27 08:32:00,68044.28,68054.31,68027.4,68028.42,70,0,0
2024-07-27 08:33:00,68029.08,68047.75,68022.29,68028.81,67,0,0
2024-07-27 08:34:00,68029.64,68030.64,68011.63,68024.08,64,0,0
2024-07-27 08:35:00,68023.71,68024.22,67959.33,67976.92,80,0,0
2024-07-27 08:36:00,67974.65,68004.05,67974.05,67985.83,71,0,0
2024-07-27 08:37:00,67986.8,67994.95,67964.4,67976.39,67,0,0
2024-07-27 08:38:00,67978.78,67990.77,67918.77,67949.84,91,0,0
2024-07-27 08:39:00,67951.72,67965.2,67920.57,67951.97,83,0,0
2024-07-27 08:40:00,67953.9,67970.97,67939.17,67961.47,71,0,0
2024-07-27 08:41:00,67963.51,67967.5,67925.6,67955.81,82,0,0
2024-07-27 08:42:00,67954.4,67961.46,67901.54,67941.71,78,0,0
2024-07-27 08:43:00,67941.53,67973.5,67929.58,67969.89,82,0,0
2024-07-27 08:44:00,67973.74,67987.39,67967.44,67976.39,77,0,0
2024-07-27 08:45:00,67977.27,68022.16,67973.57,68003.13,83,0,0
2024-07-27 08:46:00,68001.47,68004.33,67979.96,67996.6,79,0,0
2024-07-27 08:47:00,67995.5,68004.27,67979.92,67990.07,72,0,0
2024-07-27 08:48:00,67985.73,67987.89,67936.41,67942.4,82,0,0
2024-07-27 08:49:00,67941.39,67954.38,67919.63,67938.28,74,0,0
2024-07-27 08:50:00,67938.9,67962.42,67919.92,67954.95,87,0,0
2024-07-27 08:51:00,67953.63,67974.32,67931.74,67945.45,79,10,0
2024-07-27 08:52:00,67946.65,68002.53,67946.65,67960.49,94,1,0
2024-07-27 08:53:00,67964.21,67997.61,67955.01,67977.55,78,105,0
2024-07-27 08:54:00,67978.95,67982.88,67945.62,67963.01,67,61,0
2024-07-27 08:55:00,67963.92,67989.34,67954.65,67975.53,72,40,0
2024-07-27 08:56:00,67977.2,67989.77,67971.86,67981.45,71,98,0
2024-07-27 08:57:00,67976.26,67995.67,67970.34,67987.34,65,97,0
2024-07-27 08:58:00,67983.2,68028.82,67983.2,68016.54,80,125,0
2024-07-27 08:59:00,68016.21,68037.46,68000.44,68002.28,76,54,0
2024-07-27 09:00:00,67998.92,68015.83,67988.75,68013.67,76,75,0
2024-07-27 09:01:00,68014.0,68014.0,67970.7,67978.96,81,53,0
2024-07-27 09:02:00,67977.76,67991.1,67958.38,67984.03,75,66,0
2024-07-27 09:03:00,67985.06,68000.28,67974.1,67974.1,71,79,0
2024-07-27 09:04:00,67974.02,68004.14,67972.46,67983.0,82,67,0
2024-07-27 09:05:00,67980.39,67996.74,67973.22,67983.01,63,66,0
2024-07-27 09:06:00,67986.89,68001.73,67968.46,67994.11,74,141,0
2024-07-27 09:07:00,67993.76,67997.86,67961.56,67970.6,78,73,0
2024-07-27 09:08:00,67968.96,68007.36,67960.43,67985.64,132,91,0
